Cover URL,Name,Price,Old Price,Rating,Items Left
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/7972613/1.jpg?2744,TCL 43V6C 43 Inch Smart 4K HDR Google TV (1YR WRTY),"KSh 28,199"
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/984339/1.jpg?4670,"Vitron HTC4388FS - 43"" Smart Android Frameless TV - Black (1YR WRTY)","KSh 16,999"
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/0896852/1.jpg?2463,"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 24,899"
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/2167382/1.jpg?2022,Hisense 94 Liters Single Door Fridge REF094DR (2YRs WRTY) - Silver,"KSh 17,499"
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/6707713/1.jpg?4621,,
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/1998123/1.jpg?7977,,
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/6528313/1.jpg?5877,,
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/9142572/1.jpg?1893,,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",,
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Nice & Lovely Cocoa Butter 400ml lotion (Twin Pack),KSh 410
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Design Watches Luminous Alloy Men's Wrist Watch - Green,KSh 274
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),KSh 709
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Softcare Premium Soft Diaper High Count, Size L, 40 Count",KSh 807
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Maybelline Lip Kit Super Stay Matte Ink Liquid Lipstick, Pioneer 5ml + Lifter Gloss Plumping and Hydrating Lip Gloss, Sweetheart 5.4ml","KSh 2,373"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",NIVEA Soft Moisturizing Cream 75ml (Pack Of 2),KSh 629
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",2NLF PTZ Wifi IP Camera LED Bulb Security Surveillance Outdoor,"KSh 1,463"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","NIVEA Pearl & Beauty Black Pearl Fine Fragrance Anti-Perspirant Roll-On, 48h - 50ml (Pack Of 2)",KSh 709
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Mythco 3/4” Wood Gluing Pipe Clamp Set For Woodworking, DIY Projects",KSh 919
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",2025 New Model Ladies Dating Set Gift Simple Watch Bracelet 2-piece Set,KSh 522
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Garnier Acne Control Routine Kit: Pure Active Charcoal Wash 150ml+ AHA+BHA Charcoal Serum 30ml+ Mattifying Air Cream 50ml,"KSh 2,873"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",FUXING FASHION Women Breathable And Non Slip Shoes Ladies Shoes For Women Shoe,KSh 499 - KSh 585
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Dove Beauty Bar Shea Butter & Vanilla 135G,KSh 330
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Mythco 46Pcs Socket Wrench Set - Auto Repair Tool Kit Black Ratchet,KSh 824
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Shoe Rack Stackable Assembly Shoe Clothes Organizer-4 Layers,KSh 850
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Eaget Pen Flash Drive 3.0 128GB - Metal OTG Micro USB Type-C,KSh 449
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","NIVEA His & Hers Deo Pack - Deep Roll-On - 50ml, Pearl & Beauty Roll-On - 50ml",KSh 748
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",L'Oréal Paris Revitalift Filler Day & Night Serum Kit: Revitalift Laser Retinol Deep Wrinkle Night Serum 30 ml + Revitalift 1.5% Hyaluronic Acid Serum 30ml,"KSh 3,835"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Amtec 32R1S, 32"" Inch Smart Android Frameless LED TV With Bluetooth, (1YR WRTY).","KSh 9,999"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Softcare Premium Diapers JB, Size S, 69 Count","KSh 1,041"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Garnier Bye Acne & Dark Spots Skin Care Kit: 3 In 1 Charcoal Cleanser 150ml + Vitamin C Brightening Booster Face Serum + SPF30 UV Protective Sunscreen 50ml,"KSh 2,824"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Maybelline Superstay Matte Ink Liquid Lipstick - 20 Pioneer + FREE Garnier Micellar Water In Oil 100ml,"KSh 1,914"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Oale S24+ - 6.52"" 32GB ROM 3GB RAM 8MP 4050mAh 3G (With Cover, Glass Protector, Dual SIM) - Black (1YR WRTY)","KSh 5,699"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Softcare Premium Soft Diaper High Count, Size Midi, 42 Count",KSh 690
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Joystick and game controller for PS3 PC game pad game accessories wireless gamepad for iOS android mobile phone,"KSh 2,469"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Nice & Lovely Moisturizing Kit: lemon 360ml + Body Oil 100ml (Pack of 2),KSh 726
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","addigoes 10pcs Thickened Non-Slip Clothes Hangers – Heavy-Duty, Space-Saving, Durable Wardrobe Storage Essentials","KSh 1,328"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Softcare Baby Wipes 80pcs,KSh 150
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Amtec 43L12, 43"" FHD Smart Android Frameless TV, Netfix, Youtube, Bluetooth - Black (1YR WRTY)","KSh 16,299"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),KSh 999
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",TCL 43V6C 43 Inch Smart 4K HDR Google TV (1YR WRTY),"KSh 28,199"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",TCL 55V6C 55Inch Smart 4K HDR Google TV (1YR WRTY),"KSh 41,999"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Pureliving Stainless Steel Whisk Set-3PCS,KSh 545
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,199"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",NIVEA MEN Deep Body Lotion For Men - 400ml,KSh 536
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","NIVEA Pearl & Beauty Anti-Perspirant Rollon, 72h - 50ml (Pack Of 2)",KSh 709
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Maybelline Lasting Fix Setting Pray + Fit Me Primer Luminous & Smooth + FREE Lifter Gloss Topaz,"KSh 3,702"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Axe Body Spray For Men Adrenalin 150Ml,KSh 550
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Hisense 94 Liters Single Door Fridge REF094DR (2YRs WRTY) - Silver,"KSh 17,499"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Hisense 7.5Kg Twin Tub Top Load Washing Machine - White (2YRs WRTY),"KSh 17,999"
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/082586/1.jpg?4650,NIVEA MEN Deep Body Lotion For Men - 400ml (Pack of 2),KSh 929
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/4328572/1.jpg?4085,DIY Handmade Airplane Model Toys,KSh 218
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/0837513/1.jpg?8815,Hisense 43A6K 43 Inch 4K UHD Smart TV (2YRs WRTY),"KSh 29,399"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Hisense 43 Inch 43A4KKEN Smart TV (2YRs WRTY),"KSh 23,499"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Poco C75, 6.88"", 256GB + 8GB RAM (Dual SIM), 5160mAh, 4G - Black (2YRs WRTY)","KSh 14,076"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","VON VRT-195DRHS Double Door Direct Cool - 195L, Dark Silver (1YR WRTY)","KSh 30,899"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Oale POP9 - 6.6"" 64GB ROM 3GB RAM 8MP 5075mAh 3G (With Earphones, Cover, Glass Protector, Dual SIM) - Black (1YR WRTY)","KSh 6,559"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Hisense 55A6NKEN 55 Inch Smart 4k UHD Frameless (2YRs WRTY),"KSh 42,499"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Itel S25 Ultra 4G, 6.78"", 8GB RAM + 128GB (Dual SIM), 5000mAh, Black (1YR WRTY) + Free Buds Ace Pro","KSh 15,600"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",VON VART-19DHS Double Door Fridge 136L - Silver (1YR WRTY),"KSh 25,399"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Fresh Fri Fresh Fri Triple Refined Vegetable Cooking Oil - 3 Litres,KSh 999
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",WK 02 CH Multimedia Speaker 10000watts (1YR WRTY),"KSh 5,299"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","NIVEA Indulge Gift Pack - (Nourishing Cocoa Body Lotion 400ml,Waterlily Shower Gel 250ml & Pearl & Beauty Roll-On 50ml)","KSh 1,316"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Pureliving Stainless Steel Spider Strainer Skimmer,"KSh 1,245"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Vision Plus VP8832DF - 32"" Digital HD Frameless TV, DVBT2/S2 - Black (2YRS WRTY)","KSh 9,890"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Pureliving 6PCS Stainless Steel Coffee Spoons Set,KSh 248
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","HP Elitebook Folio 9470 - 14"" - Intel Core I5- 8GB RAM - 500GB HDD - Silver Refurbished, 6 Months WRTY","KSh 17,999"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Axe Ice Chill Body Spray 150Ml,KSh 550
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Hisense 2.1CH Soundbar With Wireless Subwoofer - Black (2YRs WRTY),"KSh 13,999"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",VERSMAN Swagger Sack: Cool 400ml Lotion + Shower Gel + Perfume (Pack of 3),"KSh 1,604"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Itel S25 Ultra 4G, 6.78"", 8GB RAM + 128GB,(Dual Sim), 5000mAh, Titanium (1YR WRTY) + Itel S25 ultra 128+8 + Free Buds Ace Pro","KSh 15,600"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Dartboard Set 17'' Darts Dart Board Game,"KSh 1,299"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Itel A50, 6.6'', 64GB + 2GB RAM (Dual SIM), 4G, 5000mAh, Black","KSh 7,900"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Itel A80, 6.7"", 3GB RAM + 128GB (Dual SIM), 5000mAh, Black (1 YR WRTY)","KSh 8,899"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Z60 Ultra 9 In1 Smart Watch,49MM Display, Raise Hand Wake Up, Bluetooth Calling","KSh 4,999"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Garnier Even & Matte Super Day Cleanse & Protect Kit: Super UV SPF 50 Sunscreen + Micellar Water 400ml + Day Serum 15ml,"KSh 2,584"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",JIBAO Luxury 6x6 Velvet Duvet – Super Warm,"KSh 2,550"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Amtec AM-608 Sub Woofer Sound System-BT/USB/FM-8,000 WATTS- (1YR WRTY)+ Free 1 Year Service Warranty","KSh 4,899"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","PaperOne PaperOne™ Digital Carbon Neutral Premium Copy Paper, 80 GSM, A4 Size, 500 sheets ream",KSh 750
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","P47 Bluetooth Headphone, Wireless With Mem Card Slot",KSh 570
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Dp Light 7045 Super Bright Long Range LED Portable Rechargeable Search Light Torch,KSh 990
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Garnier Even & Matte Glow Max Routine Kit: Super UV SPF 50 Sunscreen + Water Gel Glow Moisturizer 50ml + Day Serum 30ml + Cleanser 100ml,"KSh 3,412"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",SHOENOX DESIGNS GENUINE Leather School Buckled shoes for Girls,"KSh 1,300 - KSh 1,900"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Garnier Correct and Protect Bundle Pack: Vitamin C Day Booster Serum 30ml + Super UV Invisible Sunscreen SPF 50,"KSh 2,080"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Catpapa 0-3Years Newborn Baby Girl Loose Fitting Cow Boy Shorts City Boy Trendy Retro Washing Style Costumes,KSh 650 - KSh 670
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Vitron V641 3.1 , SUB-WOOFER SYSTEM 3.1 CH 10000W Pmpo","KSh 4,999"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Samsung 45W Fast Charging Adapter – High-Speed USB-C Power,KSh 999
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",None Executive handbag,"KSh 1,330"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E","Samsung Galaxy A16, TPU Silicone Phone Case with Camera Protection",KSh 399
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Melvins Lemon and ginger tea,KSh 799
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/2125523/1.jpg?1065,Kericho Gold Raspberry tea bags,"KSh 1,300"
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/8805523/1.jpg?3975,"PaperOne PaperOne™ All Purpose Premium Copy Paper, 80 GSM, A4 Size, 5 reams per Carton Box","KSh 4,000"
https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/3505523/1.jpg?3132,"SADOER Softening, moisturizing and soothing facial masks 10 pieces",KSh 750
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Kericho Gold Hangover tea,KSh 999
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",SADOER Softening and moisturizing facial masks 10 pieces,KSh 750
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Six piece colourful knife set,KSh 950
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Handbag,"KSh 3,000"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Handbag,"KSh 3,000"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Quartz Halogen Room /SpaceHeater,"KSh 2,755"
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Vintage Baseball Cap Spring Summer Sun Hat Lightweight Breathable Soft Top Baseball Cap Outdoor Sport Sun Hat for Men and Women,KSh 504
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Retro Washed Baseball Cap Men Outdoor Sun Protection Women Shading Duckbill Cap Casual Hat,KSh 504
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Color Changing Anti-Blu-ray Glasses + Glasses Case - Black Gold Frame,KSh 289
"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",Drawstring Hair Bun Fluffy Natural Curly Hairpiece For High Bun Hairstyle,KSh 127 - KSh 134
